"Filename","FileSize","ModifiedDate"
"GDAS1.CFG","323 B","7/29/19, 10:00:00 AM"
"GDAS1ARCFULL.CFG","1.4 kB","7/29/19, 10:00:00 AM"
"GDAS1ARCGRAM.CFG","1.4 kB","7/29/19, 10:00:00 AM"
"MESSAGE","146 B","8/10/20, 10:00:00 AM"
"WARNING","0 B","8/10/20, 10:00:00 AM"
"current7days","571 MB","2/18/21, 12:38:00 PM"
"current7days.t00z","571 MB","2/18/21, 12:38:00 PM"
"current7days.t06z","571 MB","2/17/21, 6:39:00 PM"
"current7days.t12z","571 MB","2/18/21, 12:39:00 AM"
"current7days.t18z","571 MB","2/18/21, 6:39:00 AM"
"dump","532 kB","7/29/19, 10:00:00 AM"
"dumpnew","532 kB","7/29/19, 10:00:00 AM"
"gdas1.apr05.w1","571 MB","11/26/07, 11:00:00 AM"
"gdas1.apr05.w2","571 MB","11/26/07, 11:00:00 AM"
"gdas1.apr05.w3","571 MB","11/26/07, 11:00:00 AM"
"gdas1.apr05.w4","571 MB","11/26/07, 11:00:00 AM"
"gdas1.apr05.w5","163 MB","11/26/07, 11:00:00 AM"
"gdas1.apr06.w1","571 MB","4/10/06, 10:00:00 AM"
"gdas1.apr06.w2","571 MB","4/17/06, 10:00:00 AM"
"gdas1.apr06.w3","571 MB","4/24/06, 10:00:00 AM"
"gdas1.apr06.w4","571 MB","5/1/06, 10:00:00 AM"
"gdas1.apr06.w5","163 MB","5/1/06, 10:00:00 AM"
"gdas1.apr07.w1","571 MB","4/16/07, 10:00:00 AM"
"gdas1.apr07.w2","571 MB","4/16/07, 10:00:00 AM"
"gdas1.apr07.w3","571 MB","4/23/07, 10:00:00 AM"
"gdas1.apr07.w4","571 MB","4/30/07, 10:00:00 AM"
"gdas1.apr07.w5","163 MB","5/1/07, 10:00:00 AM"
"gdas1.apr08.w1","571 MB","4/8/08, 10:00:00 AM"
"gdas1.apr08.w2","571 MB","4/15/08, 10:00:00 AM"
"gdas1.apr08.w3","571 MB","4/22/08, 10:00:00 AM"
"gdas1.apr08.w4","571 MB","4/29/08, 10:00:00 AM"
"gdas1.apr08.w5","163 MB","5/1/08, 10:00:00 AM"
"gdas1.apr09.w1","571 MB","4/8/09, 10:00:00 AM"
"gdas1.apr09.w2","571 MB","4/15/09, 10:00:00 AM"
"gdas1.apr09.w3","571 MB","4/22/09, 10:00:00 AM"
"gdas1.apr09.w4","571 MB","4/29/09, 10:00:00 AM"
"gdas1.apr09.w5","163 MB","5/1/09, 10:00:00 AM"
"gdas1.apr10.w1","571 MB","4/15/10, 10:00:00 AM"
"gdas1.apr10.w2","571 MB","4/15/10, 10:00:00 AM"
"gdas1.apr10.w3","571 MB","4/29/10, 10:00:00 AM"
"gdas1.apr10.w4","571 MB","4/29/10, 10:00:00 AM"
"gdas1.apr10.w5","163 MB","5/10/10, 10:00:00 AM"
"gdas1.apr11.w1","571 MB","4/8/11, 10:00:00 AM"
"gdas1.apr11.w2","571 MB","4/15/11, 10:00:00 AM"
"gdas1.apr11.w3","571 MB","4/22/11, 10:00:00 AM"
"gdas1.apr11.w4","571 MB","4/29/11, 10:00:00 AM"
"gdas1.apr11.w5","163 MB","5/1/11, 10:00:00 AM"
"gdas1.apr12.w1","571 MB","4/8/12, 10:00:00 AM"
"gdas1.apr12.w2","571 MB","4/15/12, 10:00:00 AM"
"gdas1.apr12.w3","571 MB","4/22/12, 10:00:00 AM"
"gdas1.apr12.w4","571 MB","4/29/12, 10:00:00 AM"
"gdas1.apr12.w5","163 MB","5/1/12, 10:00:00 AM"
"gdas1.apr13.w1","571 MB","4/8/13, 10:00:00 AM"
"gdas1.apr13.w2","571 MB","4/15/13, 10:00:00 AM"
"gdas1.apr13.w3","571 MB","4/22/13, 10:00:00 AM"
"gdas1.apr13.w4","571 MB","4/29/13, 10:00:00 AM"
"gdas1.apr13.w5","163 MB","5/1/13, 10:00:00 AM"
"gdas1.apr14.w1","571 MB","4/8/14, 10:00:00 AM"
"gdas1.apr14.w2","571 MB","4/15/14, 10:00:00 AM"
"gdas1.apr14.w3","571 MB","4/22/14, 10:00:00 AM"
"gdas1.apr14.w4","571 MB","4/29/14, 10:00:00 AM"
"gdas1.apr14.w5","163 MB","5/1/14, 10:00:00 AM"
"gdas1.apr15.w1","571 MB","4/15/15, 10:00:00 AM"
"gdas1.apr15.w2","571 MB","4/15/15, 10:00:00 AM"
"gdas1.apr15.w3","571 MB","4/22/15, 10:00:00 AM"
"gdas1.apr15.w4","571 MB","4/29/15, 10:00:00 AM"
"gdas1.apr15.w5","163 MB","5/1/15, 10:00:00 AM"
"gdas1.apr16.w1","571 MB","4/7/16, 10:00:00 AM"
"gdas1.apr16.w2","571 MB","4/14/16, 10:00:00 AM"
"gdas1.apr16.w3","571 MB","4/21/16, 10:00:00 AM"
"gdas1.apr16.w4","571 MB","4/28/16, 10:00:00 AM"
"gdas1.apr16.w5","163 MB","4/30/16, 10:00:00 AM"
"gdas1.apr17.w1","571 MB","4/8/17, 10:00:00 AM"
"gdas1.apr17.w2","571 MB","4/15/17, 10:00:00 AM"
"gdas1.apr17.w3","571 MB","4/22/17, 10:00:00 AM"
"gdas1.apr17.w4","571 MB","4/29/17, 10:00:00 AM"
"gdas1.apr17.w5","163 MB","5/1/17, 10:00:00 AM"
"gdas1.apr18.w1","571 MB","4/8/18, 10:00:00 AM"
"gdas1.apr18.w2","571 MB","4/15/18, 10:00:00 AM"
"gdas1.apr18.w3","571 MB","4/22/18, 10:00:00 AM"
"gdas1.apr18.w4","571 MB","4/29/18, 10:00:00 AM"
"gdas1.apr18.w5","163 MB","5/1/18, 10:00:00 AM"
"gdas1.apr19.w1","571 MB","7/9/19, 10:00:00 AM"
"gdas1.apr19.w2","571 MB","7/9/19, 10:00:00 AM"
"gdas1.apr19.w3","571 MB","7/9/19, 10:00:00 AM"
"gdas1.apr19.w4","571 MB","7/9/19, 10:00:00 AM"
"gdas1.apr19.w5","163 MB","7/9/19, 10:00:00 AM"
"gdas1.apr20.w1","571 MB","4/8/20, 10:00:00 AM"
"gdas1.apr20.w2","571 MB","4/15/20, 10:00:00 AM"
"gdas1.apr20.w3","571 MB","4/22/20, 10:00:00 AM"
"gdas1.apr20.w4","571 MB","4/29/20, 10:00:00 AM"
"gdas1.apr20.w5","163 MB","5/1/20, 10:00:00 AM"
"gdas1.aug05.w1","571 MB","11/26/07, 11:00:00 AM"
"gdas1.aug05.w2","571 MB","11/26/07, 11:00:00 AM"
"gdas1.aug05.w3","571 MB","11/14/07, 11:00:00 AM"
"gdas1.aug05.w4","571 MB","11/14/07, 11:00:00 AM"
"gdas1.aug05.w5","245 MB","11/21/07, 11:00:00 AM"
"gdas1.aug06.w1","571 MB","8/8/06, 10:00:00 AM"
"gdas1.aug06.w2","571 MB","8/23/06, 10:00:00 AM"
"gdas1.aug06.w3","571 MB","8/23/06, 10:00:00 AM"
"gdas1.aug06.w4","571 MB","8/29/06, 10:00:00 AM"
"gdas1.aug06.w5","245 MB","9/1/06, 10:00:00 AM"
"gdas1.aug07.w1","571 MB","8/8/07, 10:00:00 AM"
"gdas1.aug07.w2","571 MB","8/22/07, 10:00:00 AM"
"gdas1.aug07.w3","571 MB","8/22/07, 10:00:00 AM"
"gdas1.aug07.w4","571 MB","8/29/07, 10:00:00 AM"
"gdas1.aug07.w5","245 MB","9/4/07, 10:00:00 AM"
"gdas1.aug08.w1","571 MB","8/8/08, 10:00:00 AM"
"gdas1.aug08.w2","571 MB","8/15/08, 10:00:00 AM"
"gdas1.aug08.w3","571 MB","8/22/08, 10:00:00 AM"
"gdas1.aug08.w4","571 MB","8/29/08, 10:00:00 AM"
"gdas1.aug08.w5","245 MB","9/1/08, 10:00:00 AM"
"gdas1.aug09.w1","571 MB","8/8/09, 10:00:00 AM"
"gdas1.aug09.w2","571 MB","8/15/09, 10:00:00 AM"
"gdas1.aug09.w3","571 MB","8/22/09, 10:00:00 AM"
"gdas1.aug09.w4","571 MB","8/29/09, 10:00:00 AM"
"gdas1.aug09.w5","245 MB","9/1/09, 10:00:00 AM"
"gdas1.aug10.w1","571 MB","8/13/10, 10:00:00 AM"
"gdas1.aug10.w2","571 MB","8/15/10, 10:00:00 AM"
"gdas1.aug10.w3","571 MB","8/22/10, 10:00:00 AM"
"gdas1.aug10.w4","571 MB","8/29/10, 10:00:00 AM"
"gdas1.aug10.w5","245 MB","9/1/10, 10:00:00 AM"
"gdas1.aug11.w1","571 MB","8/8/11, 10:00:00 AM"
"gdas1.aug11.w2","571 MB","8/15/11, 10:00:00 AM"
"gdas1.aug11.w3","571 MB","8/22/11, 10:00:00 AM"
"gdas1.aug11.w4","571 MB","8/29/11, 10:00:00 AM"
"gdas1.aug11.w5","245 MB","9/1/11, 10:00:00 AM"
"gdas1.aug12.w1","571 MB","8/8/12, 10:00:00 AM"
"gdas1.aug12.w2","571 MB","8/15/12, 10:00:00 AM"
"gdas1.aug12.w3","571 MB","8/22/12, 10:00:00 AM"
"gdas1.aug12.w4","571 MB","8/29/12, 10:00:00 AM"
"gdas1.aug12.w5","245 MB","9/1/12, 10:00:00 AM"
"gdas1.aug13.w1","571 MB","8/8/13, 10:00:00 AM"
"gdas1.aug13.w2","571 MB","8/15/13, 10:00:00 AM"
"gdas1.aug13.w3","571 MB","8/22/13, 10:00:00 AM"
"gdas1.aug13.w4","571 MB","8/29/13, 10:00:00 AM"
"gdas1.aug13.w5","245 MB","9/1/13, 10:00:00 AM"
"gdas1.aug14.w1","571 MB","8/8/14, 10:00:00 AM"
"gdas1.aug14.w2","571 MB","8/15/14, 10:00:00 AM"
"gdas1.aug14.w3","571 MB","8/22/14, 10:00:00 AM"
"gdas1.aug14.w4","571 MB","8/29/14, 10:00:00 AM"
"gdas1.aug14.w5","245 MB","9/1/14, 10:00:00 AM"
"gdas1.aug15.w1","571 MB","8/7/15, 10:00:00 AM"
"gdas1.aug15.w2","571 MB","8/14/15, 10:00:00 AM"
"gdas1.aug15.w3","571 MB","8/21/15, 10:00:00 AM"
"gdas1.aug15.w4","571 MB","8/28/15, 10:00:00 AM"
"gdas1.aug15.w5","245 MB","8/31/15, 10:00:00 AM"
"gdas1.aug16.w1","571 MB","8/7/16, 10:00:00 AM"
"gdas1.aug16.w2","571 MB","8/14/16, 10:00:00 AM"
"gdas1.aug16.w3","571 MB","8/21/16, 10:00:00 AM"
"gdas1.aug16.w4","571 MB","8/28/16, 10:00:00 AM"
"gdas1.aug16.w5","245 MB","8/31/16, 10:00:00 AM"
